SampleID	ERR1328436	ERR1328437	ERR1328438	ERR1328439	ERR1328441	ERR1328442	ERR1328443	ERR1328444	ERR1328445	ERR1328446	ERR1328447	ERR1328448	ERR1328449	ERR1328450	ERR1328451	ERR1328452	ERR1328453	ERR1328454	ERR1328455	ERR1328456	ERR1328457	ERR1328458	ERR1328459	ERR1328460	ERR1328461	ERR1328462	ERR1328463	ERR1328464	ERR1328465	ERR1328466	ERR1328467	ERR1328468	ERR1328469	ERR1328470	ERR1328471	ERR1328472	ERR1328473	ERR1328474	ERR1328475	ERR1328476	ERR1328477	ERR1328478	ERR1328479	ERR1328480	ERR1328481	ERR1328482	ERR1328483	ERR1328484	ERR1328485	ERR1328486	ERR1328487	ERR1328488	ERR1328489	ERR1328490
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri	30	1	0	1	2	10	46998	32	295	21621	15	0	78	9362	37	19	12	13	15	2	65	49731	24	27927	29	9	25084	3	113	49	57	16	27997	11	16	1	51056	50	29	37084	18	15	0	121	16437	47715	16113	7	6	10	1	58	31	21
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nigrescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea	0	1	0	0	0	0	2906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus	19	5	2	0	7	10	0	0	8	1	0	0	0	0	43	0	13	0	0	8	24	34	0	1	0	2	0	1	56	25	0	0	0	0	0	1	19	4	15	1	6	21	5	24	115	19	2	0	31	0	46	0	0	4
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__massiliensis	0	9	0	0	0	0	21	0	1	0	3	0	0	1	2	2	0	0	0	1	1	1016	0	0	0	0	1	0	21	1	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	10	0	1	0	0	2
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__brevis	0	0	0	0	0	0	0	0	0	0	0	1	9	24	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__iners	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
